mmsi,imo
272545000,7645237
273240900,8422876
273319630,9146352
273338570,9009918
273455520,7913622
312864000,8919403
312867000,8919415
325110000,8028424
332001000,8919427
370070000,8913992
371031000,8819691
372210000,8914221
375905000,7378119
412328748,8799932
412328749,8798134
412328752,8524973
412333743,8798093
412333749,8798304
412676460412321992,9027104
412688540,9025663
416002232,8787276
416612000,8431372
417089234,8444264
417105347,8450835
422573000,9404285
422734000,7905443
440645000,9001423
441527000,8013883
441667000,9230646
514144000,9319856
525401139,8592487
525500291,8565836
574756000,8326319
601126800,8025082
603100323,9179359
613003596,7637527
620026000,8318570
620999583,8907888
627179000,9223227
629009114,9038402
642137027,8430586
657379000,7020126
659363000,8529533
664246000,8429991
671384100,9017666
677051100,8524492
730014000,9330214
735058984,8949044
735059351,8212415
735059596,9130781
