name,mmsi_raw,mmsi,imo
ZHOU YU 653,412008003,412008003,
ZHEXIANG YU 23029,412123526,412123526,
LU RONG YU 612,412328746,412328746,
"LU RONG YUAN YU 103, LURONGYUANYU103",412328751,412328751,
YUANDA 6,412356488,412356488,
YUANDA 8,412365486,412365486,
LU RONG YUAN YU YUN 958,412452812,412452812,
ZHOU YU 652,412569986,412569986,
"ZHOU YU 651, ZHOUYU651",412658989,412658989,
LU RONG YUAN YU 787,413800814,413800814,
ABISHAK PUTHA 3,417000878,417000878,
CHOTCHAINAVEE 35,567000035,567000035,
HUNG CHI FU 68,567000445,567000445,
