mmsi,risk_score
412366779,0.9992311764411294
412440587,0.9988128077282009
412440586,0.9988074387255476
412000788,0.9986367182119508
412440508,0.9983840241558715
412440509,0.9976138035577724
416005083,0.9971371357533889
412211644,0.9960645865168847
412200986,0.9955859461509867
654077016,0.9890846793371527
418891758,0.9834411462495813
150201073,0.9804856440370269
412440341,0.978253490927056
799210515,0.975054042134569
412205337,0.971746075549286
224464000,0.9669924761692849
412549045,0.9668268511058549
413219000,0.9663469011655929
412203365,0.9651730806527988
412354943,0.9619534005443614
412200993,0.9602820863206797
412440652,0.9591300283994308
412549248,0.9549640967948644
412549247,0.9512930339359439
412549239,0.9510002692844204
